id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
2962,Web Development,medium,What are `<div>` and `<span>` tags used for?,To create headings and paragraphs.,To create generic containers for styling or grouping content.,To insert images and videos.,To create links and buttons.,b,A `<div>` is a block-level element that is often used as a container for other HTML elements to apply styles to a section of the page. A `<span>` is an inline-level element used to style a small part of a text.,,,,,,,,,,,,,
2963,Python,hard,What are context managers and the `with` statement in Python?,A way to manage different programming contexts.,The `with` statement is used to wrap the execution of a block of code within methods defined by a context manager.,A tool for managing global variables.,A feature for creating graphical interfaces.,b,"Context managers are used for managing resources. The `with` statement ensures that resources are properly acquired and released, even if errors occur. A common example is `with open('file.txt') as f:`, which guarantees the file is closed afterward.",,,,,,,,,,,,,
2964,SQL,hard,What is a 'recursive CTE'?,A CTE that is not efficient.,A Common Table Expression that references itself.,A CTE that is stored permanently.,A CTE with a syntax error.,b,"Recursive CTEs are used to query hierarchical data, such as organizational charts or bill of materials. It consists of an anchor member and a recursive member that repeatedly executes until it returns an empty result set.",,,,,,,,,,,,,
2965,Data Structures,hard,What is a 'scapegoat tree'?,A self-balancing binary search tree that is not perfectly balanced but provides worst-case O(log n) time for operations.,A tree that is used as a placeholder.,A binary tree that is not sorted.,A tree with a very high branching factor.,a,"Scapegoat trees are unique because their balancing strategy is based on weight. If a node becomes too 'unbalanced' (its size is too large relative to its parent), the subtree rooted at a 'scapegoat' ancestor is completely rebuilt.",,,,,,,,,,,,,
2966,Algorithms,hard,What is the 'Stop and Wait' protocol?,A protocol for stopping a running program.,A simple data link layer protocol for flow control where the sender sends one frame and waits for an acknowledgment before sending the next.,A CPU scheduling algorithm.,A security protocol.,b,"Stop and Wait is a very basic form of flow control that ensures the receiver is ready to accept the next frame. Its main disadvantage is its inefficiency, as the sender is idle while waiting for the acknowledgment.",,,,,,,,,,,,,
2967,Machine Learning,hard,What is 'Principal Component Analysis' (PCA)?,A type of machine learning model.,A dimensionality-reduction technique used to transform a large set of variables into a smaller one that still contains most of the information.,A method for calculating the principal of a loan.,A data visualization technique.,b,"PCA works by finding a new set of orthogonal axes, called principal components, that capture the maximum variance in the data. It is often used for feature extraction and data visualization.",,,,,,,,,,,,,
2968,Operating Systems,hard,What is the 'Banker's Algorithm'?,An algorithm used by banks for financial calculations.,A resource allocation and deadlock avoidance algorithm.,An encryption algorithm.,A CPU scheduling algorithm.,b,"The Banker's Algorithm tests for safety by simulating the allocation of the predetermined maximum possible amounts of all resources, and then makes a 'safe state' check to test for possible deadlock conditions.",,,,,,,,,,,,,
2969,Networking,hard,What is 'multiplexing' in networking?,Sending multiple copies of the same data.,A method by which multiple analog or digital signals are combined into one signal over a shared medium.,A type of network error.,Encrypting network traffic.,b,"Multiplexing is used to share an expensive resource. For example, in a telecommunications network, several phone calls may be carried using one wire. This increases the efficiency of the network.",,,,,,,,,,,,,
2970,Web Development,hard,What is 'webpack'?,A JavaScript framework.,A static module bundler for modern JavaScript applications.,A web server.,A content management system.,b,"Webpack takes your JavaScript files and their dependencies and bundles them into a single file (or a few files) that can be efficiently loaded by a browser. It can also process other assets like CSS, images, and fonts.",,,,,,,,,,,,,
2971,Python,easy,What will `bool('False')` return?,TRUE,FALSE,Error,None,a,Any non-empty string in Python evaluates to `True` when converted to a boolean.,,,,,,,,,,,,,
2972,SQL,easy,Which keyword is used to retrieve all columns from a table?,ALL,*,COLUMNS,FULL,b,The asterisk (*) is a wildcard character in SQL that represents all columns in a table.,,,,,,,,,,,,,
2973,Data Structures,easy,What is the process of visiting each node in a tree called?,Traversal,Searching,Sorting,Insertion,a,"Tree traversal is the process of visiting (checking and/or updating) each node in a tree data structure, exactly once.",,,,,,,,,,,,,
2974,Algorithms,easy,What is the first element of an array's index?,1,-1,0,It depends on the language.,c,"In most programming languages, including Python, C++, and Java, array indexing is 0-based, meaning the first element is at index 0.",,,,,,,,,,,,,
2975,Machine Learning,easy,What does 'accuracy' measure in a classification model?,How many positive predictions were correct.,How many negative predictions were correct.,The proportion of total predictions that were correct.,How fast the model is.,c,"Accuracy is the most straightforward classification metric, calculated as (True Positives + True Negatives) / (Total Predictions).",,,,,,,,,,,,,
2976,Operating Systems,easy,What is the 'desktop' in a graphical user interface?,The main screen area that a user sees after logging in.,A type of computer.,A folder for documents.,The settings menu.,a,"The desktop is the primary user interface of an operating system, serving as a workspace for files, folders, and application shortcuts.",,,,,,,,,,,,,
2977,Networking,easy,What is a 'hyperlink'?,"A link from a web page to a resource, such as another page or file.",A high-speed network connection.,A type of text formatting.,A security feature.,a,"A hyperlink, or simply a link, is a reference to data that the user can follow by clicking or tapping.",,,,,,,,,,,,,
2978,Web Development,easy,What is the purpose of the `title` tag in HTML?,To create a title for a paragraph.,"To define the title of the document, which is shown in the browser's title bar or tab.",To style the text.,To insert a large heading.,b,The `<title>` tag is a required element in an HTML document and is placed within the `<head>` section.,,,,,,,,,,,,,
2979,Python,medium,What is a 'set' in Python?,An ordered collection of unique items.,An unordered collection of unique items.,An ordered collection of items that can have duplicates.,An unchangeable collection of items.,b,"Sets are mutable, unordered collections that do not allow duplicate elements. They are useful for membership testing and eliminating duplicates.",,,,,,,,,,,,,
2980,SQL,medium,What is the purpose of the `GROUP BY` clause?,To sort the result set.,To filter records.,"To group rows that have the same values into summary rows, like 'find the number of customers in each country'.",To join multiple tables.,c,"The `GROUP BY` statement is often used with aggregate functions (`COUNT()`, `MAX()`, `MIN()`, `SUM()`, `AVG()`) to group the result-set by one or more columns.",,,,,,,,,,,,,
2981,Data Structures,medium,What is a 'collision' in the context of a hash table?,When the hash table runs out of memory.,When two different keys produce the same hash index.,When a key is not found in the table.,When the hash function is slow.,b,"Since a hash function maps a large input space to a smaller output space, it's possible for different keys to map to the same slot. This is a collision, and it must be handled by a collision resolution strategy.",,,,,,,,,,,,,
2982,Algorithms,medium,What is the difference between Breadth-First Search (BFS) and Depth-First Search (DFS)?,"BFS is used for trees, DFS for graphs.","BFS explores the graph layer by layer, while DFS explores as far as possible along each branch.","BFS uses a stack, DFS uses a queue.",BFS is always faster than DFS.,b,BFS uses a queue to explore neighbor nodes first. DFS uses a stack (often implicitly through recursion) to explore a path to its end before backtracking.,,,,,,,,,,,,,
2983,Machine Learning,medium,What is 'One-Hot Encoding'?,A method for encoding all features into one single column.,A process of converting categorical data variables into a numerical format suitable for machine learning models.,A technique for reducing dimensionality.,A type of model regularization.,b,"One-Hot Encoding creates new binary columns for each unique category, with a 1 indicating the presence of that category and 0s otherwise.",,,,,,,,,,,,,
2984,Operating Systems,medium,What is a 'page table'?,A table of contents for a document.,A data structure used by a virtual memory system to store the mapping between virtual addresses and physical addresses.,A list of running processes.,A table that stores user permissions.,b,Each process has its own page table. The hardware's Memory Management Unit (MMU) uses this table to translate the virtual addresses generated by the CPU into physical addresses in RAM.,,,,,,,,,,,,,
2985,Networking,medium,What is the function of ICMP (Internet Control Message Protocol)?,To transfer files.,To carry user data.,To send error messages and operational information indicating success or failure when connecting to another IP address.,To secure data transmission.,c,"ICMP is not used for exchanging data between systems. It is used by network devices, like routers, for diagnostics. The `ping` command is a common utility that uses ICMP.",,,,,,,,,,,,,
2986,Web Development,medium,What is 'event bubbling' in JavaScript?,A type of animation effect.,An error that crashes the browser.,The process where an event starts at the most specific element and then flows upward to its parent elements.,A way to secure event listeners.,c,"When an event happens on an element, it first runs the handlers on it, then on its parent, then all the way up on other ancestors. This is the default behavior for how events are handled in the DOM.",,,,,,,,,,,,,
2987,Python,hard,What is 'monkey-patching' in Python?,A technique for debugging code.,A way to dynamically modify a class or module at runtime.,A security vulnerability.,A tool for performance optimization.,b,Monkey-patching refers to the practice of changing or extending the behavior of existing code (like a module or a class) at runtime without altering the original source code. It can be useful but should be used with caution as it can make code harder to understand.,,,,,,,,,,,,,
2988,SQL,hard,What is a 'materialized view'?,A view that is not yet created.,"A database object that contains the results of a query, which is physically stored and periodically updated.",A read-only view.,A temporary view.,b,"Unlike a regular view, which is a virtual table that runs its query each time it is accessed, a materialized view stores the data on disk. This can greatly improve performance for complex queries but requires a strategy for keeping the data fresh.",,,,,,,,,,,,,
2989,Data Structures,hard,What is a 'Treap'?,A data structure that combines a binary search tree with a heap.,A tree with three children per node.,A tree that is not sorted.,A data structure for storing strings.,a,"In a treap, each node has both a key and a priority. The nodes are ordered by their keys as in a binary search tree, and by their priorities as in a heap. The heap property is often maintained using random priorities, making it a randomized data structure.",,,,,,,,,,,,,
2990,Algorithms,hard,What is the 'Stable Marriage Problem'?,A problem in computer science related to database stability.,The problem of finding a stable matching between two equally sized sets of elements given an ordering of preferences for each element.,A problem of sorting data in a stable way.,A problem concerning network protocols.,b,A matching is stable if there are no two elements from opposite sets who would both prefer each other over their current partners. The Gale-Shapley algorithm provides a way to find a stable matching.,,,,,,,,,,,,,
2991,Machine Learning,hard,What is 'adversarial training'?,A training method where two models compete against each other.,"A technique used to make machine learning models more robust by training them on intentionally crafted, malicious inputs.",A type of unsupervised learning.,A method for training a model on very small datasets.,b,"Adversarial training involves generating adversarial examples (inputs with small, imperceptible perturbations designed to fool the model) and using them during the training process to improve the model's defense against such attacks.",,,,,,,,,,,,,
2992,Operating Systems,hard,What is a 'copy-on-write' (COW) optimization?,A technique for copying files faster.,"A resource-management technique where if a resource is duplicated but not modified, the new copy simply points to the original.",A way to secure memory.,A method for writing data to disk.,b,"COW is an optimization strategy. When a write is attempted, a real copy is made. This is efficient because if the copy is never written to, no actual copy needs to be created. It is used by the `fork()` system call in many operating systems.",,,,,,,,,,,,,
2993,Networking,hard,What is 'packet switching'?,A method of grouping data that is transmitted over a digital network into packets.,Switching between different network protocols.,A type of network hardware.,A security protocol.,a,"In packet switching, data is broken into small packets that are routed independently through the network. This contrasts with circuit switching (used in old telephone networks), where a dedicated channel is established for the duration of a communication.",,,,,,,,,,,,,
2994,Web Development,hard,What is 'memoization' in the context of React?,A way to memoize API calls.,An optimization technique used to speed up applications by caching the results of expensive function calls and returning the cached result when the same inputs occur again.,A method for handling user events.,A security feature.,b,"In React, `React.memo` is a higher-order component that memoizes the rendered output of a functional component. `useMemo` and `useCallback` are hooks that can be used to memoize values and functions, respectively, to prevent unnecessary re-renders.",,,,,,,,,,,,,
2995,Python,easy,"What is the output of `3 in [1, 2, 3, 4]`?",Error,FALSE,3,TRUE,d,"The `in` operator in Python is used for membership testing. It returns `True` if a specified value is found in a sequence, and `False` otherwise.",,,,,,,,,,,,,
2996,SQL,easy,Which SQL clause specifies the condition for a `GROUP BY` clause?,WHERE,CONDITION,HAVING,FILTER,c,The `HAVING` clause was added to SQL because the `WHERE` keyword could not be used with aggregate functions. It filters the results of a `GROUP BY`.,,,,,,,,,,,,,
2997,Data Structures,medium,What are the two main operations of a queue?,Push and Pop,Insert and Delete,Enqueue and Dequeue,Add and Remove,c,"`Enqueue` means to add an element to the rear of the queue, and `Dequeue` means to remove an element from the front of the queue.",,,,,,,,,,,,,
2998,Algorithms,medium,What is an 'in-place' algorithm?,An algorithm that is easy to implement.,An algorithm that has a very low time complexity.,"An algorithm that transforms input using no auxiliary data structure, using a small, constant amount of extra storage space.",An algorithm that is not recursive.,c,"An in-place algorithm modifies the input data structure directly without creating a separate copy. For example, Bubble Sort is an in-place sorting algorithm.",,,,,,,,,,,,,
2999,Machine Learning,medium,What is 'data augmentation'?,The process of buying more data.,A technique to increase the diversity of your training data by creating modified copies of already existing data.,A method for cleaning data.,A type of data visualization.,b,"For images, data augmentation might involve techniques like flipping, rotating, or cropping. This helps the model generalize better and reduces overfitting.",,,,,,,,,,,,,
3000,Operating Systems,medium,What is a 'zombie process'?,A process that is using too much memory.,A process that has completed execution but still has an entry in the process table.,A malicious process.,A process that cannot be terminated.,b,"This entry is still needed to allow the parent process to read its child's exit status. Zombie processes are 'reaped' by their parent. If the parent doesn't, the `init` process will eventually adopt and reap them.",,,,,,,,,,,,,
3001,Networking,medium,What is the purpose of the 'traceroute' (or `tracert`) command?,To measure network speed.,To check if a host is reachable.,To display the route (path) and measure transit delays of packets across an IP network.,To resolve a domain name.,c,Traceroute works by sending a sequence of packets with increasing time-to-live (TTL) values. It shows the IP addresses of the routers that packets pass through on their way to a destination.,,,,,,,,,,,,,
3002,Web Development,medium,What is 'semantic HTML'?,HTML that is written in a different language.,"The use of HTML markup to reinforce the semantics, or meaning, of the information in webpages rather than merely to define its presentation.",A version of HTML that is no longer used.,HTML with no CSS styling.,b,"Semantic HTML uses tags like `<article>`, `<section>`, `<nav>`, and `<footer>` to describe the content. This helps with accessibility, SEO, and code clarity, as opposed to using generic `<div>` tags for everything.",,,,,,,,,,,,,
3003,Python,hard,What is the difference between a shallow copy and a deep copy of an object?,A shallow copy is faster.,A deep copy is a recursive copy of an object; a shallow copy is not.,A shallow copy creates a new object but inserts references to the objects found in the original. A deep copy creates a new object and recursively copies all objects.,Both B and C are correct.,d,"A shallow copy is sufficient for simple objects, but if an object contains other objects (like a list of lists), a deep copy is needed to create a fully independent duplicate.",,,,,,,,,,,,,
3004,SQL,hard,What is a 'self-referencing foreign key'?,A foreign key that is also a primary key.,A foreign key that references a column in the same table.,A foreign key with a syntax error.,A foreign key that is not efficient.,b,This is used to create a hierarchical relationship within a single table. A common example is an 'employees' table where a 'manager_id' column is a foreign key that references the 'employee_id' column of the same table.,,,,,,,,,,,,,
3005,Data Structures,hard,What is a 'k-d tree'?,A tree with 'k' number of children per node.,A space-partitioning data structure for organizing points in a k-dimensional space.,A type of balanced binary tree.,A tree used in cryptography.,b,"K-d trees are a useful data structure for several applications, such as searches involving a multidimensional search key (e.g., range searches and nearest neighbor searches).",,,,,,,,,,,,,
3006,Algorithms,hard,What is a 'Las Vegas' algorithm?,An algorithm that is always correct but whose running time is random.,An algorithm that is not guaranteed to be correct but whose running time is predictable.,An algorithm used in gambling.,An algorithm that is very slow.,a,"A Las Vegas algorithm, unlike a Monte Carlo algorithm, never returns an incorrect result. A good example is a randomized version of Quick Sort, which always sorts the array correctly, but its runtime can vary based on the random pivot choices.",,,,,,,,,,,,,
3007,Machine Learning,hard,What is the difference between 'model parameters' and 'hyperparameters'?,Parameters are learned from the data; hyperparameters are set before training.,Hyperparameters are learned from the data; parameters are set before training.,They are the same thing.,Parameters are for regression; hyperparameters are for classification.,a,"Model parameters are the values that the learning algorithm learns on its own (e.g., the weights in a neural network). Hyperparameters are the settings that the data scientist must choose for the algorithm (e.g., the learning rate, the number of hidden layers).",,,,,,,,,,,,,
3008,Operating Systems,hard,What is 'demand paging'?,A method of virtual memory management where a page is brought into physical memory only when it is needed.,When a user demands more memory for a process.,A system for paging users when a process is complete.,A memory allocation error.,a,"Demand paging is a lazy loading technique. It avoids reading into memory pages that will not be used, which can improve performance and reduce memory usage.",,,,,,,,,,,,,
3009,Networking,hard,What is 'split-horizon DNS'?,A DNS configuration where the DNS server gives different responses depending on the source of the query.,A way to split a DNS server into two smaller servers.,A type of DNS security vulnerability.,An outdated DNS protocol.,a,"Split-horizon (or split-view) DNS is often used to provide separate internal and external views of a network. For example, a domain name might resolve to a private IP address for internal users and a public IP address for external users.",,,,,,,,,,,,,
3010,Web Development,hard,What is 'Long Polling'?,A variation of the traditional polling technique that allows a server to push information to a client whenever data is available.,A very slow polling request.,A security attack.,A way to make multiple requests at once.,a,"In long polling, the client makes a request to the server, and the server holds the connection open until it has new data to send. Once it sends the data, the connection is closed, and the client immediately makes a new request. This is a way to simulate a server push.",,,,,,,,,,,,,
3011,Python,easy,What keyword is used to exit a loop prematurely?,exit,stop,break,return,c,The `break` statement is used to terminate the current loop (for or while) and resume execution at the next statement after the loop.,,,,,,,,,,,,,
3012,SQL,easy,Which function is used to find the largest value in a column?,LARGEST(),MAX(),TOP(),HIGH(),b,`MAX()` is an aggregate function that returns the maximum value from a set of values in a specified column.,,,,,,,,,,,,,
3013,Data Structures,medium,Which data structure is best for implementing a 'undo' feature in a text editor?,Queue,Stack,Array,Linked List,b,"A stack is perfect for an undo feature because the last action performed should be the first one to be undone, following the Last-In, First-Out (LIFO) principle.",,,,,,,,,,,,,
3014,Algorithms,medium,What is the primary difference between a 'brute-force' algorithm and a 'divide and conquer' algorithm?,Brute-force is always faster.,"Brute-force systematically checks all possible solutions, while divide and conquer breaks the problem into smaller, similar subproblems.",Divide and conquer is only for sorting.,Brute-force uses more memory.,b,"Brute-force is often simple to implement but can be very inefficient. Divide and conquer is a powerful paradigm that often leads to much more efficient algorithms (e.g., Merge Sort vs. checking all permutations).",,,,,,,,,,,,,
3015,Machine Learning,medium,What is a 'confusion matrix'?,A matrix that shows how confused a model is.,A table used to describe the performance of a classification model on a set of test data for which the true values are known.,A visualization of the model's features.,A type of neural network layer.,b,"A confusion matrix gives a detailed breakdown of correct and incorrect classifications for each class, showing the number of true positives, true negatives, false positives, and false negatives.",,,,,,,,,,,,,
3016,Operating Systems,medium,What is 'I/O bound' vs 'CPU bound'?,A process is I/O bound if it spends more time waiting for I/O operations than doing computations. A process is CPU bound if it spends more time doing computations.,CPU bound processes are faster.,I/O bound processes use more memory.,They refer to the physical boundaries of the I/O devices and the CPU.,a,"Understanding whether a process is I/O bound or CPU bound is important for system performance tuning. For example, a web server is often I/O bound, while a scientific simulation is often CPU bound.",,,,,,,,,,,,,
3017,Networking,medium,What is a 'port scan'?,A technique used to identify open ports and services on a network host.,A scan for viruses on a network port.,A way to measure the speed of a port.,A physical inspection of network ports.,a,Port scanning is a common technique used by network administrators to verify security policies and by attackers to identify potential vulnerabilities on a target system.,,,,,,,,,,,,,
3018,Web Development,medium,What is 'Cross-Site Scripting' (XSS)?,A technique for styling websites.,A type of security vulnerability that allows an attacker to inject malicious scripts into web pages viewed by other users.,A way to share scripts between different websites.,A JavaScript performance optimization.,b,"XSS attacks can be used to steal user session cookies, deface websites, or redirect users to malicious sites. Proper input validation and output encoding are key defenses against XSS.",,,,,,,,,,,,,
3019,Python,hard,What is a 'GIL' and why is it significant in CPython?,Global Instruction List; it speeds up execution.,Global Interpreter Lock; it is a mutex that allows only one thread to execute Python bytecode at a time.,Global Inheritance Link; it manages multiple inheritance.,Global Integration Library; it helps with C integrations.,b,"The GIL simplifies memory management in CPython but means that multi-threaded, CPU-bound programs cannot take full advantage of multi-core processors. For I/O-bound tasks, this is less of an issue. Other Python implementations like Jython or IronPython do not have a GIL.",,,,,,,,,,,,,
3020,SQL,hard,What is a 'full-text search'?,Searching the entire database for a text string.,A specialized type of search that allows for querying against text data in a more flexible and natural way than the `LIKE` operator.,A search that is guaranteed to find all results.,A very slow text search.,b,"Full-text search engines can handle natural language queries, understand stemming (e.g., searching for 'run' finds 'running' and 'ran'), and rank results by relevance, which is not possible with basic SQL operators.",,,,,,,,,,,,,
3021,Data Structures,hard,What is a 'Suffix Tree'?,A tree where every node has a suffix.,A compressed trie containing all the suffixes of a given text as their keys and positions in the text as their values.,A type of binary search tree.,A tree used for file system directories.,b,"Suffix trees are a powerful data structure used for a wide range of string problems, such as finding the longest common substring between two strings or finding all occurrences of a pattern in a text, with very high efficiency.",,,,,,,,,,,,,
3022,Algorithms,hard,What is a 'Monte Carlo' algorithm?,An algorithm used for financial modeling.,"A randomized algorithm that is guaranteed to have a predictable running time, but whose output may be incorrect with a certain (typically small) probability.",An algorithm that is always correct.,An algorithm that is very slow.,b,"Monte Carlo algorithms are often used when a deterministic algorithm is too slow. The probability of getting an incorrect answer can usually be reduced by running the algorithm multiple times. This contrasts with Las Vegas algorithms, which are always correct but have a random runtime.",,,,,,,,,,,,,
3023,Machine Learning,hard,What is 'Bayesian optimization'?,A technique for optimizing Bayesian models.,A sequential design strategy for global optimization of black-box functions that does not assume any functional forms.,An optimization algorithm based on Bayes' theorem.,A way to optimize the speed of a model.,b,"Bayesian optimization is particularly useful for tuning the hyperparameters of a machine learning model, especially when the function to be optimized (e.g., the model's validation error) is expensive to evaluate.",,,,,,,,,,,,,
3024,Operating Systems,hard,What is the 'buddy memory allocation' technique?,A technique where memory is allocated to a process's 'buddy' process.,A memory allocation algorithm that divides memory into partitions to satisfy a request as suitably as possible.,A way to share memory between two processes.,An outdated memory allocation method.,b,"In this system, memory is divided into blocks of sizes that are powers of 2. When a request for memory is made, the smallest available block that is large enough is chosen. If it's too large, it is split into two smaller 'buddy' blocks, and the process continues until a suitably sized block is found.",,,,,,,,,,,,,
3025,Networking,hard,What is 'BGP hijacking'?,A legitimate technique for rerouting internet traffic.,The malicious rerouting of internet traffic by illegitimately taking control of groups of IP addresses by corrupting internet routing tables.,A way to speed up BGP convergence.,A security feature of BGP.,b,"BGP hijacking is a serious threat because the Border Gateway Protocol (BGP), which manages how packets are routed across the internet, is largely based on trust. Attackers can announce that they own certain IP blocks, causing traffic to be routed to them.",,,,,,,,,,,,,
3026,Web Development,hard,What are 'web components'?,A suite of different technologies allowing you to create reusable custom elements.,Components that make up a web server.,A JavaScript library.,A type of CSS framework.,a,"Web Components are a set of web platform APIs whose functionality is based on encapsulating HTML, CSS, and JavaScript within a custom element. They allow you to create new HTML tags with their own functionality, promoting modularity and reusability in web development.",,,,,,,,,,,,,
3027,Python,easy,Which of the following creates a tuple?,"`[1, 2, 3]`","`{1, 2, 3}`","`(1, 2, 3)`",`{'a': 1}`,c,"Parentheses `()` are used to create tuples. Square brackets `[]` create lists, and curly braces `{}` create sets or dictionaries.",,,,,,,,,,,,,
3028,SQL,medium,What is the purpose of the `AS` keyword in a query?,To perform an assertion.,To create a temporary alias for a table or a column.,To specify the data type.,To add a condition.,b,Using an alias makes column names more readable and can be essential when performing self-joins or when column names are ambiguous.,,,,,,,,,,,,,
3029,Data Structures,medium,What is the average time complexity to search for a key in a hash table?,O(n),O(log n),O(1),O(n log n),c,"Assuming a good hash function with minimal collisions, the time to compute the hash and access the element in the underlying array is constant, regardless of the number of items in the table.",,,,,,,,,,,,,
3030,Algorithms,medium,What is the main difference between 'insertion sort' and 'selection sort'?,Insertion sort is not in-place.,"Selection sort finds the minimum element and puts it in its place, while insertion sort builds the final sorted array one item at a time.",Selection sort is always faster.,Insertion sort uses a divide and conquer strategy.,b,"In each iteration, selection sort finds the minimum element from the unsorted part and swaps it with the first element of the unsorted part. Insertion sort takes one element from the unsorted part and inserts it into its correct position in the sorted part.",,,,,,,,,,,,,
3031,Machine Learning,medium,What is the purpose of 'regularization' in machine learning?,To make the model's predictions more regular.,To prevent overfitting by adding a penalty for model complexity.,To speed up the training process.,To select the most important features.,b,Regularization techniques like L1 (Lasso) and L2 (Ridge) add a penalty term to the loss function that discourages the model from learning overly complex patterns and having large coefficient values.,,,,,,,,,,,,,
3032,Operating Systems,medium,What is 'thrashing'?,A type of security attack.,A state in which a system spends more time paging (swapping pages between memory and disk) than doing useful work.,A hardware failure in the hard drive.,When a process runs too fast.,b,"Thrashing can occur when there is not enough physical memory to hold the working set of all the active processes, leading to a constant cycle of page faults and a severe drop in system performance.",,,,,,,,,,,,,
3033,Networking,medium,What is a 'private IP address'?,An IP address that is hidden from everyone.,An IP address that is not routable on the public internet and is reserved for use within a private network.,A more secure type of IP address.,A temporary IP address.,b,"Ranges of IP addresses (like 10.0.0.0/8, 172.16.0.0/12, and 192.168.0.0/16) are reserved for private use. NAT (Network Address Translation) is used to allow devices with private IPs to communicate with the internet.",,,,,,,,,,,,,
3034,Web Development,medium,What is the purpose of a `DOCTYPE` declaration in an HTML file?,It declares the document's type as HTML.,It is a comment and has no effect.,It is an instruction to the web browser about what version of HTML the page is written in.,It links the HTML file to a database.,c,The `<!DOCTYPE html>` declaration is the very first thing in your HTML document. It ensures that the browser renders the page in 'standards mode' and interprets the HTML and CSS correctly.,,,,,,,,,,,,,
3035,Python,hard,What are decorators in Python?,A way to visually decorate the output of a program.,A special type of comment.,A design pattern that allows you to add new functionality to an existing object without modifying its structure.,A tool for creating documentation.,c,"Decorators are functions that take another function as an argument, add some functionality, and return another function. They are often used for logging, timing, or enforcing access control, using the `@decorator` syntax.",,,,,,,,,,,,,
3036,SQL,hard,What is a 'cardinality' of a table's column?,The number of rows in the table.,The number of columns in the table.,The number of unique values in a column.,The data type of the column.,c,"Cardinality is an important concept for database indexing. A column with high cardinality (many unique values, like a primary key) is a good candidate for an index. A column with low cardinality (few unique values, like a gender column) is generally a poor candidate.",,,,,,,,,,,,,
3037,Data Structures,hard,What is a 'Bloom filter'?,A data structure that is always 100% accurate.,A space-efficient probabilistic data structure used to test whether an element is a member of a set.,A type of balanced tree.,A secure hashing algorithm.,b,"A Bloom filter can produce false positives (it might say an element is in the set when it's not), but it never produces false negatives (if it says an element is not in the set, it's definitely not). They are very useful when memory is a concern.",,,,,,,,,,,,,
3038,Algorithms,hard,What is 'linear programming'?,A method for programming in a straight line without loops or branches.,A mathematical method for determining a way to achieve the best outcome in a given mathematical model for some list of requirements represented as linear relationships.,A type of programming language.,A technique for debugging linear code.,b,"Linear programming is a powerful optimization technique used in many fields, such as operations research, economics, and engineering, to solve problems involving resource allocation, scheduling, and planning.",,,,,,,,,,,,,
3039,Machine Learning,hard,What is 'XGBoost'?,A type of neural network.,"An optimized distributed gradient boosting library designed to be highly efficient, flexible, and portable.",A data preprocessing library.,A type of linear regression.,b,XGBoost (Extreme Gradient Boosting) is a popular and powerful implementation of the gradient boosting algorithm. It is known for its high performance and is often a winning choice in machine learning competitions.,,,,,,,,,,,,,
3040,Operating Systems,hard,What is the 'C10k problem'?,"A problem where a computer cannot handle 10,000 kilobytes of data.",The problem of optimizing network sockets to handle a large number of clients at the same time.,A security vulnerability.,A problem with CPU architecture.,b,"The C10k problem is about handling ten thousand concurrent connections. Solving it requires moving away from the traditional model of one thread per connection to asynchronous, event-driven I/O models, as seen in servers like Nginx.",,,,,,,,,,,,,
3041,Networking,hard,What is 'Content Delivery Network' (CDN)?,A network for delivering private content.,A geographically distributed group of servers which work together to provide fast delivery of Internet content.,A type of local area network.,A network security protocol.,b,"A CDN caches content like images, videos, and web pages in servers located close to the end-users. When a user requests content, it is served from the nearest cache server, which significantly reduces latency and improves website performance.",,,,,,,,,,,,,
3042,Web Development,hard,What is 'code splitting'?,The process of splitting your code into multiple files for better organization.,A feature supported by bundlers like Webpack and Rollup which can create multiple bundles that can be dynamically loaded at runtime.,A technique for debugging code.,A way to comment out code.,b,"Code splitting allows you to split your application's code into smaller chunks. This means the user only downloads the code they need for the initial page load, and the rest of the code can be 'lazy-loaded' on demand, improving the application's startup time.",,,,,,,,,,,,,
3043,Python,easy,What method removes the last element from a list and returns it?,remove(),delete(),pop(),last(),c,"The `pop()` method removes and returns the item at the specified index. If no index is specified, it removes and returns the last item in the list.",,,,,,,,,,,,,
3044,SQL,medium,What is the difference between `CHAR` and `VARCHAR` data types?,"`CHAR` is for characters, `VARCHAR` is for variables.",`VARCHAR` can store more characters.,`CHAR` is a fixed-length string data type; `VARCHAR` is a variable-length string data type.,`CHAR` is faster.,c,"A `CHAR(10)` column will always use 10 bytes of storage, even if you store a shorter string. A `VARCHAR(10)` column will use only the storage required for the actual string plus a small overhead. `VARCHAR` is generally preferred unless the strings are all of a known, fixed length.",,,,,,,,,,,,,
3045,Data Structures,medium,What are the time complexities of insertion and deletion in a doubly linked list at a known position?,O(n),O(log n),O(1),O(n log n),c,"If you have a pointer to the node to be deleted or a pointer to the node before which a new node is to be inserted, the operations only involve updating a few pointers, which takes constant time.",,,,,,,,,,,,,
3046,Algorithms,medium,What is a 'heuristic' in the context of algorithms?,A guarantee of finding the optimal solution.,"A technique designed for solving a problem more quickly when classic methods are too slow, or for finding an approximate solution when classic methods fail to find any exact solution.",A type of data structure.,A way to measure an algorithm's complexity.,b,Heuristics are 'rules of thumb' that don't guarantee an optimal solution but are useful for finding a good-enough solution in a reasonable amount of time. The A* search algorithm uses a heuristic to estimate the cost to the goal.,,,,,,,,,,,,,
