id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
586,Cloud Computing,easy,Which of the following is a key benefit of cloud computing?,Increased upfront costs,Increased reliance on physical hardware,Elasticity and scalability,Decreased flexibility,c,"Elasticity and scalability are key benefits of cloud computing, allowing resources to be provisioned and de-provisioned as needed to meet demand."
587,Cybersecurity,medium,What is the main purpose of Intrusion Detection Systems IDS?,To block malicious users,To monitor and alert suspicious activity,To encrypt network traffic,To manage firewalls,b,"IDS are designed to detect suspicious activities and alert administrators, though they may not block them."
588,Algorithms,easy,Which algorithm is typically used for sorting linked lists?,Quick Sort,Insertion Sort,Merge Sort,Bubble Sort,c,Merge Sort is preferred for linked lists because it does not require random access and works efficiently in On log n.
589,Python,easy,Which keyword is used to handle exceptions in Python?,catch,error,except,throw,c,The 'except' keyword is used in Python to handle exceptions.
590,Web Development,easy,Which HTML tag is used to create a hyperlink?,link,href,a,url,c,The a tag is used to create a hyperlink in HTML. The URL is specified using the href attribute.
591,Algorithms,medium,What is the main difference between a greedy algorithm and dynamic programming?,Greedy always finds the optimal solution,while DP does not,Greedy makes locally optimal choices; DP considers future decisions,Greedy is used for all problems,while dp is for specific problems,Greedy is faster than DP in all cases
592,Cybersecurity,easy,Which type of malware demands payment?,Spyware,Adware,Trojan,Ransomware,d,Ransomware encrypts files and demands payment for unlocking.
595,Cloud Computing,easy,What is IaaS?,Infrastructure as a Service,Information as a Service,Internet as a Service,Integration as a Service,a,"IaaS stands for Infrastructure as a Service. It provides fundamental computing resources such as virtual machines, storage, and networks over the internet."
596,Data Structures,easy,Which data structure uses FIFO First In First Out principle?,Stack,Queue,Heap,Graph,b,Queue follows FIFO ordering.
597,Software Engineering,easy,What is 'refactoring' in software development?,Rewriting code to add new features,Improving the internal structure of code without changing its external behavior,Removing all bugs from a program,Converting code from one language to another,b,"Refactoring is the process of restructuring existing code without changing its external behavior. It's done to improve code readability, maintainability, and reduce complexity."
598,Data Structures,easy,Which data structure uses LIFO Last In First Out principle?,Stack,Queue,Heap,Graph,a,Stack follows LIFO ordering.
599,Cloud Computing,medium,Which container tool is most popular?,VMware,Jenkins,Docker,Kubernetes,c,Docker provides lightweight software containers for portability.
603,Python,easy,What is the output of printtype?,class 'dict',class 'set',class 'object',class 'None',a,"The type function returns the type of the object. An empty pair of curly braces  creates an empty dictionary, not a set."
605,Algorithms,easy,Which search algorithm works only if data is sorted?,Linear Search,Binary Search,BFS,DFS,b,Binary search requires sorted data.
608,Artificial Intelligence,hard,Which AI search strategy guarantees lowest cost solution?,Greedy Best-First,A,DFS,BFS,b,"A is optimal when the heuristic is admissible, ensuring lowest cost path."
609,SQL,easy,Which SQL keyword is used to sort results?,FILTER,ORDER BY,SORT,GROUP BY,b,ORDER BY is used to sort results ascending or descending.
611,Cloud Computing,easy,What does IaaS stand for?,Internet as service,Infrastructure as service,Integration as service,Instance as script,b,"IaaS provides compute, storage, networking."
612,Python,medium,"What is a ""lambda"" function?",A function without a name,A function that takes a list as input,A function that returns a boolean,A function that modifies its arguments,a,"A lambda function is a small, anonymous nameless function that can take any number of arguments, but can only have one expression."
613,SQL,easy,What is the purpose of the ORDER BY clause in a SQL query?,To group rows with the same values,To filter the results,To sort the result set,To join tables,c,The ORDER BY clause is used to sort the result set of a query in ascending ASC or descending DESC order based on one or more columns.
620,Machine Learning,easy,"What is a ""feature"" in a machine learning model?",A type of algorithm,An output or target variable,A column in a dataset used for prediction,A metric for evaluation,c,"In machine learning, a feature is an input variable that is used by the model to make predictions. It is a key piece of information in the dataset."
622,Data Structures,easy,Which data structure is best for storing a dictionary where elements are not ordered?,List,Tuple,Set,Dictionary,d,"A dictionary or hash map is an unordered collection of key-value pairs. It provides fast lookup, insertion, and deletion of elements by key."
627,Algorithms,easy,Which algorithm is based on divide and conquer?,Bubble Sort,Quick Sort,Insertion Sort,Selection Sort,b,Quick Sort follows divide and conquer.
628,Artificial Intelligence,easy,Which AI algorithm is used to find the shortest path?,DFS,BFS,A,Kruskal,c,The A algorithm is widely used for shortest-path problems in AI.
630,Software Engineering,medium,Which testing checks interactions between modules?,Unit testing,Integration,Acceptance,System,b,Integration testing validates communication between modules.
636,Software Engineering,hard,What is 'technical debt'?,Money owed to a software vendor,The cost of developing new features,The future cost of additional work incurred by choosing an easy but limited solution now instead of a better but more difficult one,The cost of software maintenance,c,"Technical debt is a concept in software development that reflects the implied cost of additional rework caused by choosing a less-than-ideal solution or shortcut instead of a better, more robust approach. It's like taking a loan out on future development time."
641,Software Engineering,medium,What is refactoring?,Fixing bugs,Improving code without changing behavior,Adding features,Deleting functions,b,Refactoring restructures code for readability while maintaining behavior.
645,Cybersecurity,hard,What is SQL Injection primarily used for?,Data encryption,Database exploitation,Password hashing,Compression,b,SQL Injection is used by attackers to exploit and manipulate databases by injecting malicious queries.
649,Data Structures,hard,What is the time complexity of searching in a skip list?,Olog n,On,O1,On log n,a,Skip lists allow logarithmic search via hierarchical linked layers.
650,Cybersecurity,hard,What is a botnet?,Group of firewalls,Network of infected computers,Collection of databases,A cybersecurity policy,b,A botnet is a network of compromised devices controlled by an attacker.
651,Cybersecurity,easy,What malware disguises as legitimate program?,Worm,Trojan,Ransomware,Spyware,b,Trojan horse pretends to be legit.
655,Algorithms,easy,Which algorithm works for searching sorted arrays?,Binary Search,Linear Search,BFS,DFS,a,Binary Search requires sorted data.
656,SQL,easy,Which SQL command is used to create a table?,INSERT,DROP,CREATE,UPDATE,c,The CREATE TABLE statement is used to define table schema.
669,Python,medium,What will printtypelambda x:x return?,function,class,lambda,object,a,"A lambda is syntactic sugar, returning a normal function object."
670,Computer Networks,easy,Which device broadcasts all incoming packets?,Switch,Router,Hub,Bridge,c,Hub broadcasts data to all devices without intelligence.
674,Algorithms,medium,Which sorting algorithm is best when the input is nearly sorted?,Quick Sort,Insertion Sort,Merge Sort,Heap Sort,b,Insertion Sort works efficiently on nearly sorted arrays.
676,Computer Networks,easy,What is the difference between a hub and a switch?,A hub broadcasts data to all devices; a switch sends data to the intended device,A hub is faster than a switch,A switch is used for wireless networks,A hub can connect to multiple networks,a,A hub is a simple device that broadcasts all incoming data to every other connected device. A switch is a smarter device that learns the MAC addresses of connected devices and forwards data only to the specific intended device.
678,SQL,easy,Which SQL statement is used to change data in an existing table?,INSERT,UPDATE,ALTER,MODIFY,b,The UPDATE statement is used to modify existing records in a table.
682,Logic Design,easy,Which gate outputs true only if both inputs differ?,XOR,AND,NAND,NOT,a,XOR outputs true when inputs differ.
688,Machine Learning,hard,Which neural network architecture is best for sequential data like text or speech?,CNN,RNN,Decision Tree,SVM,b,Recurrent Neural Networks RNNs and their variants LSTMGRU are suited for sequential data processing.
691,Deep Learning,medium,What does batch normalization do?,Adds random noise,Normalizes hidden activations,Reduces network layers,Increases dropout,b,Batch normalization standardizes inputs to stabilize training.
693,SQL,medium,What is a JOIN in SQL?,A method to insert data into multiple tables,A clause to combine rows from two or more tables based on a related column,A way to group records together,A type of data constraint,b,A JOIN clause is used in a SELECT statement to combine rows from two or more tables based on a related column between them.
695,Cybersecurity,hard,What is buffer overflow?,Memory leak attack,Writing beyond buffer causing code injection,Hash collision,SQL Injection,b,Buffer overflow occurs when input overwrites adjacent memory potentially executing code.
697,Machine Learning,easy,Which task is regression?,Predicting stock price,Spam detection,Clustering,Topic modeling,a,Regression predicts numeric continuous values.
703,Computer Networks,medium,Which protocol allows automatic IP assignment?,DNS,FTP,DHCP,SSH,c,DHCP assigns IP dynamically.
704,Operating Systems,medium,What is the purpose of virtual memory?,To increase the physical RAM size,To allow a program to use more memory than is physically available,To encrypt data in memory,To speed up hard drive access,b,Virtual memory is a memory management technique that allows a program to use a logical address space that can be much larger than the available physical memory. It uses the hard disk as an extension of RAM.
706,Software Engineering,hard,What is inversion of control?,Program controls framework,Framework controls flow,Memory manager control,System-level execution,b,"IoC means framework controls flow, not program."
707,Software Testing,easy,What type of testing verifies each requirement?,System Testing,Unit Testing,Requirement Testing,Acceptance Testing,d,Acceptance testing ensures software meets customer requirements.
708,Python,easy,What is the correct way to declare a function in Python?,def myFunc:,function myFunc:,def myFunc:,func myFunc:,c,Python uses the def keyword followed by the function name and parentheses.
709,Python,medium,Which of the following data types is mutable in Python?,tuple,string,list,int,c,"Lists are mutable in Python, while tuples, strings, and ints are immutable."
710,Database Management,easy,Which database model organizes data into tables with rows and columns?,Network Model,Hierarchical Model,Relational Model,Document Model,c,"The Relational Model is the most common database model, where data is organized into tables relations of rows and columns. SQL is the standard language for managing relational databases."
712,Networking,medium,What is the purpose of a ping command?,To send a message to a device,To test the reachability of a host on an IP network,To check the speed of a network,To clear the network cache,b,The ping command is a network utility used to test the reachability of a host on an IP network and to measure the round-trip time for messages sent from the host to a destination computer.
717,Cybersecurity,medium,What is ransomware?,A type of firewall,A form of virus stealing credentials,Malware encrypting files until ransom is paid,Phishing attack,c,Ransomware encrypts victims files and demands payment to restore access.
721,Cloud Computing,hard,What handles container orchestration?,Terraform,Kubernetes,Docker,VMWare,b,Kubernetes manages orchestration.
722,Operating Systems,easy,What is a process control block PCB?,A list of all processes in the system,A data structure containing a process's state and context,A memory block reserved for system processes,The area of memory where a process's code is stored,b,"A Process Control Block PCB is a data structure used by the OS to hold information about a process, such as its state, program counter, CPU registers, and memory management information."
725,Algorithms,easy,Which sorting algorithm repeatedly swaps adjacent out-of-order elements?,Merge Sort,Quick Sort,Bubble Sort,Heap Sort,c,Bubble sort works by checking adjacent pairs and swapping them until sorted.
726,Database Management,medium,What is ACID compliance in the context of database transactions?,Atomicity,Consistency,Isolation,Durability,accuracy,Caching
728,Algorithms,easy,Which algorithm is used for finding the minimum spanning tree?,Dijkstra,Floyd-Warshall,Kruskal,DFS,c,Kruskal's algorithm builds the MST using greedy edge additions.
732,Computer Networks,medium,What is TCP Transmission Control Protocol primarily known for?,Being a connectionless protocol,Providing a reliable,connection-oriented service,Being a fast but unreliable protocol,used for broadcasting data,B
735,Software Engineering,medium,What is 'test-driven development' TDD?,Writing tests after the code is written,Writing tests and then writing code to pass those tests,Testing a single unit of code,Using a test suite to debug a program,b,TDD is a software development process where developers write an automated test case for a new feature or function before writing any of the code required to implement it. The code is then written to satisfy the test.
736,Operating Systems,hard,Which fragmentation occurs due to fixed partition memory allocation?,Internal,External,Both,None,a,Internal fragmentation occurs due to unused space in fixed partitions.
738,Algorithms,easy,What is a common use case for a Breadth-First Search BFS?,Finding the shortest path in an unweighted graph,Finding a path to a specific leaf node,Sorting an array,Checking for cycles in a directed graph,a,BFS is guaranteed to find the shortest path in an unweighted graph because it explores all nodes at the current level before moving to the next level.
739,Data Structures,easy,What is the minimum number of edges in a connected graph with n nodes?,0,n-1,n,n1,b,A tree is a connected graph with n-1 edges.
740,Cloud Computing,medium,Which service manages virtual servers?,SaaS,IaaS,PaaS,FaaS,b,"IaaS Infrastructure as a Service provides virtual servers, networking, and storage."
741,Cybersecurity,hard,What is a rainbow table attack?,An attack using brute-force password guessing,An attack using precomputed hashes to crack passwords,An attack that floods networks with traffic,An attack that steals cookies,b,"Rainbow tables precompute password hashes, making password cracking faster than brute force."
747,Operating Systems,hard,Which memory scheme can cause internal fragmentation?,Fixed partitions,Segmentation,Dynamic allocation,Paging,a,Fixed partitions waste space inside allocation.
748,Networking,medium,What is the purpose of the subnet mask?,To hide a computer's IP address,To determine which part of an IP address identifies the network and which part identifies the host,To prevent unauthorized access to a network,To encrypt data packets,b,"A subnet mask is a 32-bit number that distinguishes the network address from the host address within an IP address, telling a router which part of the address is for the local network."
752,Machine Learning,hard,Which algorithm improves ensemble learning by sequential corrections?,Bagging,Boosting,Clustering,Dropout,b,Boosting trains sequentially where each model corrects predecessor errors.
755,Software Engineering,hard,What is coupling in software design?,Dependencies between modules,Flow control,Test execution,Requirements gathering,a,Coupling describes dependence between software modules.
760,Data Structures,medium,What is a Red-Black tree?,A binary search tree where all nodes are either red or black,A data structure that is always balanced,A data structure for storing colors,A type of graph,a,"A Red-Black tree is a type of self-balancing binary search tree. Each node is colored either red or black, and the tree adheres to specific properties that ensure its height remains logarithmic, making operations like search and insertion efficient."
761,Algorithms,medium,What is the complexity of Floyd-Warshall algorithm?,On2,On3,On log n,On4,b,Floyd-Warshall finds shortest paths between all pairs with On3 complexity.
764,Database Management,easy,What is the purpose of a foreign key?,To uniquely identify a record,To link two tables together,To enforce data security,To index a table,b,A foreign key is a field in one table that uniquely identifies a row of another table. It establishes and enforces a link between the data in the two tables.
766,Python,hard,What is the GIL Global Interpreter Lock? A lock on all threads that ensures only one thread executes Python bytecode at a time,A lock that prevents multiple Python processes from running simultaneously,A lock that is part of every Python object to ensure thread safety,A mechanism to manage Python's memory allocation,A,"the gil is a mutex that protects access to python objects, preventing multiple threads from executing python bytecode at the same time. this means that a single-process python application cannot fully utilize multiple cpu cores for cpu-bound tasks.",No explanation provided
768,Data Structures,medium,What is the time complexity to find an element in a balanced binary search tree?,O1,On,Olog n,On2,c,"In a balanced binary search tree, the search space is halved at each step, making the average and worst-case time complexity Olog n."
770,Artificial Intelligence,hard,Which type of agent uses model of environment?,Model-free agent,Learning agent,Model-based agent,Reactive agent,c,Model-based agents use an internal model of the environment.
780,Artificial Intelligence,hard,Which game tree algorithm uses pruning?,Dijkstra,DFS,Alpha-Beta,A,c,Alpha-Beta pruning optimizes minimax by ignoring branches.
783,Networking,easy,What is the purpose of a router in a network?,To connect devices within a single local area network LAN,To manage user passwords,To connect different networks and forward data packets,To provide wireless connectivity,c,A router is a networking device that connects different networks and forwards data packets between them based on their IP addresses.
784,Algorithms,medium,Which algorithm is commonly used for finding shortest path in weighted graphs without negative edges?,Prim,Dijkstra,Floyd-Warshall,DFS,b,Dijkstras algorithm works on positive weight graphs for shortest paths.
786,Cybersecurity,medium,What is the main purpose of hashing passwords in a database?,To encrypt them,To shorten storage,To make them irreversible and secure,To allow fast retrieval,c,"Hashes are one-way functions that secure passwords, preventing exposure even if the database is leaked."
787,SQL,hard,What is a correlated subquery?,A subquery that runs first and independently,A subquery that references a column from outer query,A hidden temporary view,Recursive query,b,A correlated subquery depends on values from the outer query for execution.
791,Machine Learning,medium,What is the purpose of a validation set?,To train the model on a different set of data,To test the model's final performance before deployment,To tune the model's hyperparameters and prevent overfitting,To pre-process the data,c,"A validation set is a portion of the training data used to tune hyperparameters and evaluate the model's performance during training, helping to prevent overfitting to the training set."
796,Cybersecurity,hard,What is the primary purpose of a security sandbox?,To keep data backups,To isolate untrusted programs,To encrypt traffic,To manage firewalls,b,"A sandbox isolates running programs, reducing the risk of malicious software harming the main system."
797,Database Management,medium,What is the difference between a VARCHAR and a CHAR data type?,VARCHAR has a fixed length,CHAR has a variable length,VARCHAR is used for numbers,CHAR is for strings,`varchar` has a variable length,CHAR has a fixed length
802,Database Management,hard,What is the difference between a UNIQUE constraint and a PRIMARY KEY?,A PRIMARY KEY can have NULL values,while a UNIQUE constraint cannot,A PRIMARY KEY is a clustered index by default,while a UNIQUE constraint is a non-clustered index by default,a `primary key` can be applied to multiple columns,while a UNIQUE constraint cannot
803,Algorithms,hard,Which algorithm is used for finding articulation points in a graph?,DFS,BFS,Dijkstra,Kruskal,a,DFS is used for finding articulation points.
805,Operating Systems,medium,Which strategy is used to handle deadlocks by rolling back processes?,Prevention,Detection and Recovery,Avoidance,Multilevel Scheduling,b,Deadlock handling via detection identifies deadlock state and recovers by terminating or rolling back processes.
812,Computer Networks,medium,Which protocol is used to translate domain names to IP addresses?,NAT,DHCP,DNS,ARP,c,DNS resolves human-readable domain names into IP addresses.
814,Python,medium,What is the purpose of the str method?,To provide a string representation for an object,To convert an object to a string for saving to a file,To compare two objects for equality,To check if an object is an instance of a string,a,The str method is used to provide a human-readable string representation of an object. The built-in print and str functions use this method to get a string representation of the object.
815,DSA,easy,What does FIFO stand for?,First-In Final-Out,First-In First-Out,Fast-In Fast-Out,Final-In Final-Out,b,"FIFO stands for First-In, First-Out. It describes the behavior of a queue, where the first element added is the first one to be removed."
819,Logic Design,hard,What is the function of a D flip-flop?,Delays signal,Stores one bit,Performs addition,Acts as inverter,b,D flip-flop stores one bit and outputs it aligned with clock signal.
821,Cloud Computing,hard,Which feature differentiates a container from a virtual machine?,Containers run with full OS,Containers share host kernel,Virtual machines are faster,Containers isolate hardware,b,"Containers share the host OS kernel, unlike VMs which emulate full hardware and OS."
823,DSA,easy,What is the difference between an array and a linked list?,An array is a dynamic data structure,while a linked list is static,An array stores elements in contiguous memory,while a linked list stores them in non-contiguous memory,an array can grow in size,while a linked list cannot
826,Data Structures,hard,What is the time complexity of searching in a balanced BST?,O1,Olog n,On,On log n,b,Balanced BST has height Olog n.
827,Software Engineering,hard,What is cohesion in software design?,Interdependence among modules,Independence of modules,How related tasks inside a module are grouped,Execution speed,c,Cohesion measures the degree to which elements inside a module belong together.
829,Networking,medium,What is the primary difference between a router and a gateway?,A router connects different networks; a gateway can connect networks that use different protocols,A router is for wireless; a gateway is for wired,A router is faster than a gateway,A router is a hardware device; a gateway is a software program,a,"A router connects different networks but works with a single set of protocols e.g., TCPIP. A gateway is a device that can connect networks that use different protocols, acting as a translator."
833,Machine Learning,easy,Which of the following is an unsupervised learning algorithm?,Decision Trees,Linear Regression,K-Means,SVM,c,K-Means clustering is an unsupervised algorithm that groups data without labels.
841,Machine Learning,medium,What does ROC curve evaluate?,Clustering efficiency,Classification performance,Regression accuracy,Feature importance,b,ROC curve plots True Positive Rate vs False Positive Rate.
848,Software Engineering,medium,What is the purpose of a 'design review'?,To test the code for bugs,To present the software's architecture and design to stakeholders for feedback,To review the user interface,To review the test cases,b,"A design review is a formal meeting where the software's design and architecture are presented to a group of stakeholders, including developers and project managers, to get feedback and identify potential issues early in the development lifecycle."
854,SQL,medium,What is the difference between INNER JOIN and OUTER JOIN?,INNER JOIN returns only matching rows; OUTER JOIN returns matching  non-matching rows,INNER JOIN is faster always; OUTER JOIN is slower,INNER JOIN supports multiple tables; OUTER JOIN does not,There is no difference,a,"INNER JOIN includes rows with matches in both tables, while OUTER JOIN includes matches plus unmatched rows with NULLs."
859,Computer Networks,hard,Which routing algorithm uses the Bellman-Ford algorithm internally?,Link-State Routing,Distance Vector Routing,Path Vector Routing,Flooding,b,Distance Vector Protocols like RIP use Bellman-Ford to calculate shortest paths.
861,Algorithms,hard,What is the time complexity of matrix chain multiplication using dynamic programming?,On,On2,On3,O2n,c,"Matrix chain multiplication with DP uses a triple nested loop, giving On3 complexity."
863,Python,medium,What is a lambda function?,A function without a name,A function that takes a list as input,A function that returns a boolean,A function that modifies its arguments,a,"A lambda function is a small, anonymous nameless function that can take any number of arguments, but can only have one expression."
871,Computer Networks,medium,What is a firewall?,A device that blocks all network traffic,A software program that prevents viruses,A security system that monitors and controls network traffic,A protocol for secure data transmission,c,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on a set of predefined security rules. It is a first line of defense against unauthorized access.
876,Software Development,medium,"What is ""unit testing""?",Testing the entire system as a whole,Testing individual software components or modules in isolation,Testing the integration between two modules,Testing the user interface,b,Unit testing is a type of software testing where individual units or components of a software application are tested to ensure they function correctly in isolation.
878,Python,hard,What does the mro attribute of a class show?,Method resolution order,Memory reference object,Mutable reference object,Module runtime objects,a,The mro attribute shows the Method Resolution Order of classes in inheritance.
881,Python,medium,What is the difference between is and ?,is checks for value equality, checks for object identity,is checks for object identity, checks for value equality,they are identical,is is a function
883,Database Management,medium,What is denormalization?,Converting data to 3NF,Reducing redundancy,Storing redundant data to optimize read performance,Merging schemas,c,Denormalization introduces redundancy to speed up query performance.
886,Deep Learning,medium,What is the vanishing gradient problem related to?,Shallow nets,Activation function saturation,Overfitting only,High variance,b,"Saturated activation functions cause gradients to diminish, slowing learning."
887,Deep Learning,hard,Which architecture introduced self-attention?,CNN,RNN,Transformer,SVM,c,Transformers introduced self-attention mechanisms for NLPvision tasks.
892,DSA,medium,What is the space complexity of an in-place sorting algorithm like Bubble Sort?,O1,On,Olog n,On2,a,"An in-place sorting algorithm, like Bubble Sort, only requires a constant amount of extra space for temporary variables, making its space complexity O1."
894,Algorithms,hard,Which technique does the Travelling Salesman Problem usually require for exact optimal solutions?,Dynamic Programming,Divide and Conquer,Greedy,Hashing,a,TSP is NP-hard; exact solutions often use Dynamic Programming with On2  2n time complexity.
899,Algorithms,medium,What is dynamic programming primarily used for?,To solve problems by dividing them into independent subproblems,To solve problems with optimal substructure and overlapping subproblems,To solve problems by trying every possible solution,To solve problems by making locally optimal choices,b,"Dynamic programming is an algorithmic technique for solving problems by breaking them down into simpler, overlapping subproblems and storing the results of those subproblems to avoid recomputing them."
900,SQL,easy,Which SQL command is used to extract data from a database?,SELECT,GET,EXTRACT,OPEN,a,The SELECT statement is the primary SQL command used to retrieve data from one or more tables in a database.
902,Web Development,medium,What does the acronym 'API' stand for?,Application Program Interface,Advanced Programming Instruction,Automated Program Interface,Application Protocol Integration,a,API stands for Application Program Interface. It is a set of rules and protocols for building and interacting with software applications.
905,Python,medium,What will be the output of bool?,TRUE,FALSE,None,Error,b,"In Python, empty containers like , , '' evaluate to False, so bool returns False."
906,Cloud Computing,easy,What does SaaS stand for?,Software as a Service,Storage as a Service,System as a Service,Simulation as a Service,a,SaaS delivers software applications over the cloud.
907,Operating Systems,medium,What is the main purpose of demand paging?,Load all pages into memory at startup,Load pages only when they are needed,Prevent thrashing,Replace FIFO scheduling,b,"Demand paging loads a page into memory only when it is referenced, saving memory and reducing initial load time."
908,Cloud Computing,easy,Which company provides AWS cloud?,Google,Amazon,Microsoft,IBM,b,AWS is provided by Amazon.
912,Software Engineering,medium,Which testing ensures modules work together?,Unit Testing,System Testing,Integration Testing,Regression Testing,c,Integration testing verifies module interaction correctness.
913,Python,medium,What does a list comprehension do in Python?,Creates a list by iterating over another iterable,A function that returns a list,A built-in method for sorting lists,A way to create a list of booleans,a,A list comprehension provides a concise way to create lists. It is a compact and readable syntax for creating a new list based on the values of an existing iterable.
917,Python,easy,Which keyword is used to define a function in Python?,func,def,function,define,b,"In Python, functions are defined using the def keyword."
918,Cybersecurity,easy,Which of the following practices improves password security?,"Using ""123456""",Using only lowercase letters,Using longer passwords with mixed characters,Reusing the same password everywhere,c,"Strong passwords use length and a mix of character types, making them harder to guess."
920,Cybersecurity,hard,What is public key cryptography mainly used for?,Fast encryption,Keyless hashing,Secure key exchange and identity,Password storage,c,"Public key cryptography is mainly used for secure key exchange, digital signatures, and authentication."
925,Logic Design,easy,Which gate outputs true if at least one input is true?,AND,OR,XOR,NAND,b,OR gate outputs true when any input is true.
927,Computer Networks,medium,What is a MAC address?,A logical address for a device,A physical address that is unique to a network interface card NIC,A temporary address assigned by DHCP,The address of a router,b,"A MAC Media Access Control address is a unique, physical address assigned to a network interface card NIC for communication within a network segment. It is a permanent address embedded by the manufacturer."
932,Deep Learning,medium,What is dropout used for in neural networks?,Faster training,Reduce accuracy,Prevent overfitting,Normalization,c,Dropout randomly disables neurons during training to avoid overfitting.
934,Operating Systems,medium,What is the primary condition for a deadlock to occur?,Mutual Exclusion,Hold and Wait,No Preemption,All of the above,d,"A deadlock requires four conditions to occur simultaneously: Mutual Exclusion, Hold and Wait, No Preemption, and Circular Wait. If any one of these conditions is not met, a deadlock cannot occur."
936,Cybersecurity,medium,What is a rootkit?,A password cracking tool,A type of malware hiding system processes,A keylogger,An anti-virus software,b,Rootkits are software tools that enable attackers to maintain privileged access and hide malicious activity.
937,Data Structures,easy,Which data structure is best for implementing BFS?,Stack,Queue,Heap,Array,b,BFS uses a queue.
940,Logic Design,medium,How many flip-flops needed for 16 states?,2,3,4,8,c,"24  16 states, so 4 flip-flops are required."
945,Algorithms,medium,What is the complexity of Merge Sort in worst-case?,On2,On log n,Olog n,On,b,Merge Sort always guarantees On log n time complexity.
946,Software Testing,easy,What type of testing checks end-user requirements?,Integration,Unit,System,Acceptance,d,Acceptance testing validates system against user needs.
949,Algorithms,medium,Which sorting algorithm is stable?,Quick Sort,Merge Sort,Selection Sort,Heap Sort,b,Merge Sort maintains relative ordering of equal elements.
953,Data Science,hard,"What is ""p-value"" in hypothesis testing?",Probability of null hypothesis being true,Significance test result,Probability of observing results under null,Error rate,c,The p-value represents the probability of observing data given that null hypothesis is true.
954,Operating Systems,hard,What is spooling?,Printing optimization,Overlapping IO with CPU for jobs,Process starvation,Deadlock resolution,b,Spooling overlaps inputoutput jobs in buffer allowing concurrent operations.
963,Computer Networks,easy,What is IPv4 address size?,32 bits,64 bits,128 bits,8 bits,a,IPv4 uses 32-bit addressing.
965,Machine Learning,medium,"What is a ""hyperparameter"" in machine learning?",A parameter learned by the model during training,An external parameter set before training starts,A type of feature,A metric for model evaluation,b,"Hyperparameters are external configuration settings for a machine learning algorithm. They are set manually before the training process begins e.g., learning rate, number of trees in a random forest."
966,Python,easy,What is the output of print23?,6,8,9,5,b,"The operator  is used for exponentiation, so 23 equals 2 raised to the power of 3, which is 8."
967,Operating Systems,medium,"What is a ""context switch""?",Changing the CPU's clock speed,Saving the state of one process and loading another,Switching between different user accounts,Moving a process from RAM to a hard drive,b,"A context switch is the mechanism by which the operating system saves the state of a running process and loads the state of another, allowing the CPU to switch between them. This is how multitasking is achieved."
969,Python,easy,What is the purpose of the 'break' statement in a loop?,To skip the current iteration,To exit the loop entirely,To start the loop from the beginning,To raise an error,b,The 'break' statement is used to terminate the current loop and transfer control to the statement immediately following the loop.
971,Software Testing,medium,What is integration testing?,Testing one module,Testing multiple modules together,Testing performance,Testing with users,b,Integration testing checks correctness of module interactions.
972,Algorithms,medium,Which shortest path algorithm works with negative edges?,Dijkstra,Floyd-Warshall,Bellman-Ford,Kruskal,c,Bellman-Ford correctly handles graphs with negative edge weights.
974,Deep Learning,medium,Which layer reduces dimensionality in CNN?,Pooling,Dense,ReLU,Dropout,a,Pooling layer reduces feature map size.
977,SQL,hard,What are window functions in SQL used for?,Row-by-row operations over partitions,Joining tables faster,Creating stored procedures,Generating random data,a,"Window functions operate over partitions of rows and return a value for each row, e.g., RANK, LEAD, LAG."
978,Python,medium,What is a generator in Python?,A function that returns a value,A function that iterates over a sequence,A function that returns an iterator,A class that can be instantiated,c,A generator is a special type of function that returns an iterator. It yields a sequence of values instead of returning a single value all at once.
979,Web Development,easy,What is the correct way to link an external CSS file to an HTML document?,style src'styles.css',link href'styles.css',script src'styles.css',css href'styles.css',b,"The link tag is used in the head section of an HTML document to link to an external CSS file, using the href attribute to specify the file path."
980,Software Engineering,easy,What does DRY principle mean?,Do Repeat Yourself,Don't Repeat Yourself,Develop Rapidly Yourself,Data Recovery Yoga,b,DRY avoids code duplication for maintainability.
984,Networking,easy,What is the purpose of a switch?,To connect devices within a single local area network LAN,To connect different networks,To broadcast data to all devices,To manage network security,a,A switch is a networking device that connects devices within a single LAN. It forwards data frames only to the specific device for which they are intended.
989,Cloud Computing,hard,What is serverless computing?,A computing model that uses no servers,A computing model that abstracts away the underlying infrastructure and runs code in response to events,A computing model that uses a single large server,A computing model that is not connected to the internet,b,Serverless computing is a cloud-native development model that allows developers to build and run applications without managing servers. The cloud provider dynamically manages the allocation of machine resources.
990,Database Management,hard,What is the purpose of the GROUP BY clause in SQL in combination with aggregate functions?,To filter rows based on a condition,To combine rows into summary rows,To sort the result set by column,To join two or more tables,b,"The GROUP BY clause is used to group rows that have the same values in specified columns into summary rows, typically to apply an aggregate function like SUM, AVG, COUNT to each group."
994,Logic Design,medium,How many select lines are required for an 8-to-1 multiplexer?,1,2,3,8,c,"An 8-to-1 multiplexer selects one of its eight data inputs and routes it to the single output. The number of select lines n is related to the number of inputs 2n so 23  8, meaning 3 select lines are needed."
997,Computer Networks,easy,Which device connects multiple LANs?,Hub,Switch,Router,Repeater,c,Routers connect LANs and forward packets using IP addresses.
